LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,Unnamed: 15,PARAM_TYPE,NOTE
Alanine aminotransferase,Alanine aminotransferase,ALT,ready,,220644,ALT,None,chartevents,116445,Labs,,,,,Numeric,
Alanine aminotransferase,Alanine aminotransferase,ALT,ready,,50861,ALANINE AMINOTRANSFERASE (ALT),,labevents,1418724,CHEMISTRY,,BLOOD, ,,,
Albumin,Albumin,,ready,,227456,Albumin,None,chartevents,58571,Labs,,,,,Numeric with tag,
Albumin,Albumin (body fluid),,verify,,51025,"ALBUMIN, BODY FLUID",,labevents,644,CHEMISTRY,,OTHER BODY FLUID,1747-5,,,
Albumin,Albumin,,ready,,50862,ALBUMIN,,labevents,788743,CHEMISTRY,,BLOOD,1751-7,,,
Albumin,Albumin,,ready,,51776,<ALBUMIN>,,labevents,38,CHEMISTRY,,Cerebrospinal Fluid,,,,
Albumin ascites,Albumin (ascites),,ready,,50835,"ALBUMIN, ASCITES",,labevents,6366,CHEMISTRY,,ASCITES,1749-1,,,
Albumin pleural,Albumin (pleural),,ready,,51046,"ALBUMIN, PLEURAL",,labevents,4803,CHEMISTRY,,PLEURAL,1748-3,,,
Albumin urine,Albumin (urine),,ready,,51069,"ALBUMIN, URINE",,labevents,59956,CHEMISTRY,,URINE,1754-1,,,
Alkaline phosphate,Alkaline phosphate,ALP,ready,,225612,Alkaline Phosphate,None,chartevents,114039,Labs,,,,,Numeric,
Alkaline phosphate,Alkaline phosphate,ALP,ready,,50863,ALKALINE PHOSPHATASE,,labevents,1232250,CHEMISTRY,,BLOOD,6768-6,,,
Anion gap,Anion gap,,ready,,50868,ANION GAP,,labevents,3120805,CHEMISTRY,,BLOOD,1863-0,,,
Anion gap,Anion gap,,ready,,227073,Anion gap,None,chartevents,445052,Labs,,,,,Numeric,
Anion gap,Anion gap,,ready,,52500,Anion gap,None,labevents,391,Chemistry,,BLOOD,,,Numeric,
Arterial Base Excess,Arterial Base Excess,Arterial Base Excess,verify,,224828,Arterial Base Excess,None,chartevents,321211,Labs,,,,,Numeric,
Asparate aminotransferase,Asparate aminotransferase,AST,ready,,220587,AST,None,chartevents,116397,Labs,,,,,Numeric,
Asparate aminotransferase,Asparate aminotransferase,AST,ready,,50878,ASPARATE AMINOTRANSFERASE (AST),,labevents,1389746,CHEMISTRY,,BLOOD,1920-8,,,
Basophils,Basophils,,ignore,,51442,BASOPHILS,,labevents,478,HEMATOLOGY,,PLEURAL,35070-2,,,
Basophils,Basophils,,ready,,51146,BASOPHILS,,labevents,1306206,HEMATOLOGY,,BLOOD,704-7,,,
Basophils,Basophils,,verify,,51112,BASOPHILS,,labevents,352,HEMATOLOGY,,ASCITES,35069-4,,,
Basophils,Basophils,,verify,,51387,BASOPHILS,,labevents,197,HEMATOLOGY,,OTHER BODY FLUID,28543-7,,,
Basophils,Basophils,,verify,,51367,BASOPHILS,,labevents,178,HEMATOLOGY,,JOINT FLUID,17833-5,,,
Bicarbonate,Bicarbonate,HCO3,ready,,50882,BICARBONATE,,labevents,3128540,CHEMISTRY,,BLOOD,1963-8,,,
Bicarbonate,Bicarbonate (whole blood),HCO3 (whole blood),ready,,50803,"CALCULATED BICARBONATE, WHOLE BLOOD",,labevents,24453,BLOOD GAS,,BLOOD,1959-6,,,
Bicarbonate,Bicarbonate (serum),HCO3 (serum),ready,,227443,HCO3 (serum),None,chartevents,447297,Labs,,,,,Numeric with tag,
Bicarbonate urine,Bicarbonate (urine),HCO3 (urine),verify,,51076,"BICARBONATE, URINE",,labevents,2709,CHEMISTRY,,URINE,1964-6,,,
Bilirubin,"Bilirubin (total, pleural)",,verify,,51049,"BILIRUBIN, TOTAL, PLEURAL",,labevents,177,CHEMISTRY,,PLEURAL,14421-2,,,
Bilirubin,Bilirubin (blody fluid),,verify,,51028,"BILIRUBIN, TOTAL, BODY FLUID",,labevents,410,CHEMISTRY,,OTHER BODY FLUID,1974-5,,,
Bilirubin,Bilirubin (conjugated),Direct bilirubin,ready,,225651,Direct Bilirubin,None,chartevents,10298,Labs,,,,,Numeric,
Bilirubin,Bilirubin (total),Total bilirubin,ready,,50885,"BILIRUBIN, TOTAL",,labevents,1236009,CHEMISTRY,,BLOOD,1975-2,,,
Bilirubin,Bilirubin (unconjugated),,ready,,50884,"BILIRUBIN, INDIRECT",,labevents,91112,CHEMISTRY,,BLOOD,1971-1,,,
Bilirubin,BIlirubin (urine dip),,verify,,51464,BILIRUBIN,,labevents,719146,HEMATOLOGY,,URINE,5770-3,,,
Bilirubin,Bilirubin (urine),,verify,,51465,BILIRUBIN CRYSTALS,,labevents,88,HEMATOLOGY,,URINE,5771-1,,,
Bilirubin,Bilirubin (urine),,ready,,51966,Bilirubin,,labevents,601,CHEMISTRY,,URINE,,,,
Bilirubin,Bilirubin (conjugated),Direct bilirubin,ready,,50883,"BILIRUBIN, DIRECT",,labevents,95982,CHEMISTRY,,BLOOD,1968-7,,,
Bilirubin,"Bilirubin (total, ascites)",,verify,,50838,"BILIRUBIN, TOTAL, ASCITES",,labevents,2145,CHEMISTRY,,ASCITES,14422-0,,,
Bilirubin,Bilirubin (total),Total bilirubin,ready,,225690,Total Bilirubin,None,chartevents,116874,Labs,,,,,Numeric,
Blood urea nitrogen,Blood urea nitrogen,BUN,ready,,52647,UREA NITROGEN,,labevents,393,CHEMISTRY,,BLOOD,,,,
Blood urea nitrogen,Blood urea nitrogen,BUN,ready,,51006,UREA NITROGEN,,labevents,3356489,CHEMISTRY,,BLOOD,3094-0,,,
Blood urea nitrogen,Blood urea nitrogen,BUN,ready,,225624,BUN,None,chartevents,446124,Labs,,,,,Numeric,
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,ready,,50804,CALCULATED TOTAL CO2,,labevents,538068,BLOOD GAS,,BLOOD,34728-6,,Numeric,
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",,ready,,51739,Total CO2,,labevents,391,CHEMISTRY,,BLOOD,,,Numeric,
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",TCO2 (calc) Venous,ready,,223679,TCO2 (calc) Venous,None,chartevents,49615,Labs,,,,,,
"CO2 (ETCO2, PCO2, etc.)","CO2 (ETCO2, PCO2, etc.)",TCO2 (calc) Arterial,ready,,225698,TCO2 (calc) Arterial,None,chartevents,321189,Labs,,,,,,
Calcium,Calcium (total),Total Calcium,ready,,50893,"CALCIUM, TOTAL",,labevents,2305225,CHEMISTRY,,BLOOD,2000-8,,,
Calcium,Calcium (body fluid),,verify,,51029,"CALCIUM, BODY FLUID",,labevents,11,CHEMISTRY,,OTHER BODY FLUID,15155-5,,,
Calcium,Calcium non-ionized,,ready,,225625,Calcium non-ionized,None,chartevents,406668,Labs,,,,,Numeric,
Calcium ionized,Calcium ionized,,ready,,225667,Ionized Calcium,None,chartevents,227434,Labs,,,,,Numeric,
Calcium ionized,Calcium ionized,,ready,,50808,FREE CALCIUM,,labevents,295777,BLOOD GAS,,BLOOD,1994-3,,,
Calcium ionized,Calcium ionized,,ready,,51624,FREE CALCIUM,,labevents,392,CHEMISTRY,,BLOOD,,,,
Calcium urine,Calcium (urine),,ready,,51077,"CALCIUM, URINE",,labevents,4723,CHEMISTRY,,URINE,2004-0,,,
Calcium urine,Calcium,,verify,,51066,24 HR CALCIUM,,labevents,2119,CHEMISTRY,,URINE,6874-2,,,
Cardiac Index,Cardiac Index,Cardiac Index (CI NICOM),verify,,228368,Cardiac Index (CI NICOM),L/min/m2,chartevents,10285,NICOM,,,,,Numeric,
Central Venous Pressure,Central Venous Pressure,,ready,,220074,Central Venous Pressure,mmHg,chartevents,852759,Hemodynamics,,,,,Numeric,
Chloride,Chloride (whole blood),,ready,,50806,"CHLORIDE, WHOLE BLOOD",,labevents,88895,BLOOD GAS,,BLOOD,2069-3,,Numeric,
Chloride,Chloride (whole blood),,ready,,226536,Chloride (whole blood),None,chartevents,31278,Labs,,,,,,
Chloride,Chloride (ascites),,verify,same as 4193,50839,"CHLORIDE, ASCITES",,labevents,35,CHEMISTRY,,ASCITES,33366-6,,,
Chloride,Chloride (body fluid),,verify,same as 4193,51030,"CHLORIDE, BODY FLUID",,labevents,33,CHEMISTRY,,OTHER BODY FLUID,2072-7,,,
Chloride,Chloride (pleural),,verify,same as 4193,51050,"CHLORIDE, PLEURAL",,labevents,2,CHEMISTRY,,PLEURAL,53627-6,,,
Chloride,Chloride (stool),,verify,same as 4193,51062,"CHLORIDE, STOOL",,labevents,94,CHEMISTRY,,STOOL,15158-9,,Binary,
Chloride,Chloride,,ready,,50902,CHLORIDE,,labevents,3245378,CHEMISTRY,,BLOOD,2075-0,,,
Chloride,Chloride,,ready,,52535,CHLORIDE,,labevents,393,CHEMISTRY,,BLOOD,,,,
Chloride,Chloride (serum),,ready,same as 4193,220602,Chloride (serum),None,chartevents,470233,Labs,,,,,,
Chloride urine,Chloride (urine),,ready,note: may need to change to excreted chloride in the future to incorporate stool etc. and also separate other specific chlorides from whole blood,51078,"CHLORIDE, URINE",,labevents,40872,CHEMISTRY,,URINE,2078-4,,Numeric,
Cholesterol,Cholesterol,,ready,,220603,Cholesterol,None,chartevents,4758,Labs,,,,,,
Cholesterol,Cholesterol (total),,ready,,50907,"CHOLESTEROL, TOTAL",,labevents,263996,CHEMISTRY,,BLOOD,2093-3,,,
Cholesterol,Cholesterol (body fluid),,verify,,51031,"CHOLESTEROL, BODY FLUID",,labevents,14,CHEMISTRY,,OTHER BODY FLUID,12183-0,,,
Cholesterol,Cholesterol (ascites),,verify,,50840,"CHOLESTEROL, ASCITES",,labevents,49,CHEMISTRY,,ASCITES,14441-0,,,
Cholesterol HDL,Cholesterol (HDL),HDL Cholesterol,ready,,50904,"CHOLESTEROL, HDL",,labevents,257717,CHEMISTRY,,BLOOD,2085-9,,,
Cholesterol LDL,Cholesterol (LDL),LDL Cholesterol,ignore,,50906,"CHOLESTEROL, LDL, MEASURED",,labevents,41498,CHEMISTRY,,BLOOD,18262-6,,Binary,
Cholesterol LDL,Cholesterol (LDL),LDL Cholesterol,ready,,50905,"CHOLESTEROL, LDL, CALCULATED",,labevents,234579,CHEMISTRY,,BLOOD,2090-9,,,
Cholesterol Pleural,Cholesterol (pleural),,ignore,,51051,"CHOLESTEROL, PLEURAL",,labevents,4658,CHEMISTRY,,PLEURAL,9618-0,,,
Code Status,Code Status,Code Status,verify,,223758,Code Status,,,74687,General,,,,,Text,
Consciousness Level,Consciousness Level,Level of Consciousness,ignore,,226104,Level of Consciousness,,,513485,Neurological,,,,,Text,
Creatinine,Creatinine,,ready,,220615,Creatinine,None,chartevents,447359,Labs,,,,,,
Creatinine,Creatinine,,ready,,52546,CREATININE,,labevents,404,CHEMISTRY,,BLOOD,,,,
Creatinine,Creatinine,,ready,,50912,CREATININE,,labevents,3454189,CHEMISTRY,,BLOOD,2160-0,,,
Creatinine,Creatinine (whole blood),,ready,,229761,Creatinine (whole blood),None,chartevents,697,Labs,,,,,,
Creatinine,Creatinine (whole blood),,ready,,52024,Creatinine (whole blood),None,labevents,4550,BLOOD GAS,,BLOOD,,,,
Creatinine ascites,Creatinine (ascites),,ready,,50841,"CREATININE, ASCITES",,labevents,2089,CHEMISTRY,,ASCITES,12191-3,,,
Creatinine body fluid,Creatinine (body fluid),,ready,,51032,"CREATININE, BODY FLUID",,labevents,438,CHEMISTRY,,OTHER BODY FLUID,12190-5,,,
Creatinine pleural,Creatinine (pleural),,ready,,51052,"CREATININE, PLEURAL",,labevents,1333,CHEMISTRY,,PLEURAL,14399-0,,,
Creatinine urine,Creatinine clearance,,verify,,51080,CREATININE CLEARANCE,,labevents,657,CHEMISTRY,,URINE,33558-8,,Numeric,
Creatinine urine,Creatinine (urine),,verify,,51106,URINE CREATININE,,labevents,657,CHEMISTRY,,URINE,,,,
Creatinine urine,Creatinine (serum),,verify,,51081,"CREATININE, SERUM",,labevents,657,CHEMISTRY,,URINE,,,Numeric,
Creatinine urine,Creatinine,,verify,,51067,24 HR CREATININE,,labevents,9113,CHEMISTRY,,URINE,2162-6,,,
Creatinine urine,Creatinine (urine),,ready,,51082,"CREATININE, URINE",,labevents,196044,CHEMISTRY,,URINE,2161-8,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,220180,Non Invasive Blood Pressure diastolic,mmHg,chartevents,4273805,Routine Vital Signs,,,,,,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,224643,Manual Blood Pressure Diastolic Left,mmHg,chartevents,1374,Routine Vital Signs,,,,,,
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,225310,ART BP Diastolic,mmHg,chartevents,240275,Routine Vital Signs,,,,,Numeric,
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,220051,Arterial Blood Pressure diastolic,mmHg,chartevents,2379754,Routine Vital Signs,,,,,,
Ectopy Frequency,Ectopy Frequency,Ectopy Frequency 2,ignore,,226480,Ectopy Frequency 2,,,34181,Routine Vital Signs,,,,,Text,
Ectopy Frequency,Ectopy Frequency,Ectopy Frequency 1,ignore,,224651,Ectopy Frequency 1,,,884629,Routine Vital Signs,,,,,Text,
Ectopy Type,Ectopy Type,Ectopy Type 2,verify,,226479,Ectopy Type 2,,,54800,Routine Vital Signs,,,,,Text,
Ectopy Type,Ectopy Type,Ectopy Type 1,verify,,224650,Ectopy Type 1,,,5544023,Routine Vital Signs,,,,,Text,
Echinocytes,Echinocytes,,ready,,52111,Echinocytes,,labevents,35271,HEMATOLOGY,,BLOOD,,,,
Eosinophils,Eosinophils,,verify,,51368,EOSINOPHILS,,labevents,1100,HEMATOLOGY,,JOINT FLUID,17834-3,,,
Eosinophils,Eosinophils,,ready,,51419,EOSINOPHILS,,labevents,1640,HEMATOLOGY,,OTHER BODY FLUID,26452-3,,,
Eosinophils,Eosinophils,,verify,,51474,EOSINOPHILS,,labevents,7105,HEMATOLOGY,,URINE,25156-1,,,
Eosinophils,Eosinophils,,ready,,51114,EOSINOPHILS,,labevents,1816,HEMATOLOGY,,ASCITES,30380-0,,,
Eosinophils,Eosinophils,,ready,,51444,EOSINOPHILS,,labevents,2445,HEMATOLOGY,,PLEURAL,30379-2,,,
Fall Risk,Fall Risk,Risk for Falls,ignore,,223754,Risk for Falls,,,153711,Neurological,,,,,Text,
Fibrinogen,Fibrinogen,Fibrinogen,ready,,227468,Fibrinogen,None,chartevents,48684,Labs,,,,,Numeric with tag,
Fibrinogen,Fibrinogen,,ready,,51214,"FIBRINOGEN, FUNCTIONAL",,labevents,116438,HEMATOLOGY,,BLOOD,3255-7,,,
Fraction inspired oxygen,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,223835,Inspired O2 Fraction,None,chartevents,894954,Respiratory,,,,,Numeric,
Glascow coma scale eye opening,Glascow coma scale eye opening,GCS eye,verify,should we just add these up?,220739,GCS - Eye Opening,,chartevents,1715673,Neurological,,,,,,
Glascow coma scale motor response,Glascow coma scale motor response,GCS motor,verify,should we just add these up?,223901,GCS - Motor Response,,chartevents,1708276,Neurological,,,,,,
Glascow coma scale verbal response,Glascow coma scale verbal response,GCS verbal,verify,should we just add these up?,223900,GCS - Verbal Response,,chartevents,1712456,Neurological,,,,,,
Glucose,Glucose,,ready,,50931,GLUCOSE,,labevents,2893059,CHEMISTRY,,BLOOD,2345-7,,,
Glucose,Glucose,,ready,,52569,GLUCOSE,,labevents,431,CHEMISTRY,,BLOOD,,,,
Glucose,Glucose (urine),,ready,,51981,GLUCOSE,,labevents,601,CHEMISTRY,,URINE,,,,
Glucose,Glucose (CSF),,ready,,51790,"Glucose, CSF",,labevents,13117,CHEMISTRY,,Cerebrospinal Fluid,,,,
Glucose,Glucose (whole blood),,ready,,226537,Glucose (whole blood),None,chartevents,156736,Labs,,,,,,
Glucose,Glucose (serum),,ready,,220621,Glucose (serum),None,chartevents,442360,Labs,,,,,,
Glucose,Glucose (finger stick),,ready,,225664,Glucose finger stick,None,chartevents,803953,Labs,,,,,,
Glucose,Glucose,,ready,,50809,GLUCOSE,,labevents,221767,BLOOD GAS,,BLOOD,2339-0,,Numeric,
Glucose urine,Glucose,,verify,,51478,GLUCOSE,,labevents,719147,HEMATOLOGY,,URINE,5792-7,,,
